State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage
Montana,MT,Broadwater,30007.0,"Broadwater County, Montana",2888,11.91,28.43,40.34,59.66
Montana,MT,Carbon,30009.0,"Carbon County, Montana",4716,8.04,30.56,38.59,61.41
Montana,MT,Carter,30011.0,"Carter County, Montana",599,14.86,32.22,47.08,52.92
Montana,MT,Cascade,30013.0,"Cascade County, Montana",36414,11.23,24.11,35.34,64.66
Montana,MT,Chouteau,30015.0,"Chouteau County, Montana",2212,12.39,37.34,49.73,50.27
Montana,MT,Custer,30017.0,"Custer County, Montana",5044,14.06,26.98,41.04,58.96
Montana,MT,Daniels,30019.0,"Daniels County, Montana",716,9.08,31.15,40.22,59.78
Montana,MT,Dawson,30021.0,"Dawson County, Montana",3710,10.92,21.99,32.91,67.09
Montana,MT,Deer Lodge,30023.0,"Deer Lodge County, Montana",4560,16.43,33.16,49.58,50.42
Montana,MT,Fallon,30025.0,"Fallon County, Montana",1145,17.12,16.94,34.06,65.94
Montana,MT,Fergus,30027.0,"Fergus County, Montana",5200,13.44,26.87,40.31,59.69
Montana,MT,Flathead,30029.0,"Flathead County, Montana",45510,10.12,24.22,34.34,65.66
Montana,MT,Gallatin,30031.0,"Gallatin County, Montana",54621,12.6,14.81,27.41,72.59
Montana,MT,Garfield,30033.0,"Garfield County, Montana",407,12.29,30.71,43.0,57.0
Montana,MT,Glacier,30035.0,"Glacier County, Montana",4174,28.73,35.1,63.82,36.18
Montana,MT,Golden Valley,30037.0,"Golden Valley County, Montana",362,17.68,24.86,42.54,57.46
Montana,MT,Granite,30039.0,"Granite County, Montana",1375,10.55,41.96,52.51,47.49
Montana,MT,Hill,30041.0,"Hill County, Montana",6226,15.93,32.22,48.15,51.85
Montana,MT,Jefferson,30043.0,"Jefferson County, Montana",4890,6.44,24.56,31.0,69.0
Montana,MT,Judith Basin,30045.0,"Judith Basin County, Montana",907,17.53,27.12,44.65,55.35
Montana,MT,Lake,30047.0,"Lake County, Montana",12175,16.91,29.13,46.05,53.95
Montana,MT,Lewis and Clark,30049.0,"Lewis and Clark County, Montana",30655,8.62,25.1,33.72,66.28
Montana,MT,Liberty,30051.0,"Liberty County, Montana",685,13.72,38.54,52.26,47.74
Montana,MT,Lincoln,30053.0,"Lincoln County, Montana",8858,16.56,37.11,53.67,46.33
Montana,MT,McCone,30055.0,"McCone County, Montana",818,5.13,33.5,38.63,61.37
Montana,MT,Madison,30057.0,"Madison County, Montana",3703,7.29,38.81,46.1,53.9
Montana,MT,Meagher,30059.0,"Meagher County, Montana",897,14.16,28.09,42.25,57.75
Montana,MT,Mineral,30061.0,"Mineral County, Montana",2132,14.87,24.34,39.21,60.79
Montana,MT,Missoula,30063.0,"Missoula County, Montana",55084,13.94,24.11,38.05,61.95
Montana,MT,Musselshell,30065.0,"Musselshell County, Montana",2131,13.42,32.9,46.32,53.68
Montana,MT,Park,30067.0,"Park County, Montana",8257,12.41,26.05,38.46,61.54
Montana,MT,Petroleum,30069.0,"Petroleum County, Montana",200,7.5,34.0,41.5,58.5
Montana,MT,Phillips,30071.0,"Phillips County, Montana",1769,6.39,37.08,43.47,56.53
Montana,MT,Pondera,30073.0,"Pondera County, Montana",2240,18.04,32.46,50.49,49.51
Montana,MT,Powder River,30075.0,"Powder River County, Montana",713,10.66,32.96,43.62,56.38
